;2620
餐饮管理与服务(酒店行政总厨);7743
临床医学(中西医结合临床方向);4804
产品造型设计（文、理、艺兼收）;4998
嵌入式技术应用;2783
文秘（电子政务方向）;6488
道路桥梁工程技术(院级重点建设专业);4143
绘画（国画方向、油画方向）;8425
旅游管理(国际酒店管理方向)（文理兼招）;4673
动漫设计与制作;729
给水排水工程;309
涉外导游;5025
电子商务专业（本科）;5896
应用缅甸语;9050
软件工程（测控技术与仪器方向）;4736
临床医学与医学技术类(中外);2573
中医学(临床);2994
建筑装饰技术;4400
微机电系统工程;9094
土木工程（交通土建）;3870
车辆运用工程;949
英语（医学科技方向）;6122
放射医学;2451
旅游英语（双语播音与讲解员方向）;3307
土水工程;8541
航空机电设备维修;1227
军事历史;4239
材料成型及控制工程专业（理科）【四川省"卓越工程师培养计划"专业】;8556
酒店管理（高级管家方向）;3603
信息与计算科学（二批）;5375
药物制剂专业;8023
商务英语(国际贸易方向);6046
电机电器智能化;3538
海关管理;3518
朝鲜语专业（商务方向）;7324
药学（理科基地班）;2588
司法信息技术;2900
勘查技术与工程专业（理科）【国家级特色专业】;8592
软件技术（订单培养、对口）;1659
信息管理与信息系统（学制4年）;2254
自动化（机器人）;3868
投资学;344
金融学（拔尖创新人才培育试验计划）;6353
会计（涉外方向）：;5020
针织技术与针织服装;4127
经济学（学制4年）;2296
软件技术（企业信息管理）;7374
国际贸易实务（620304）;5114
港口物流设备与自动控制(港口设施与设备管理方向);7404
印刷图文信息处理专业（包装设计方向）;6517
物流管理（二批）;5400
社区管理与服务（专科）;9248
会展管理与策划;6405
制药工程（生物制药方向）;5301
电子工艺技术;6745
英语(英语教育);6668
地理科学类;4643
建筑系;5161
空中乘务及航空地勤;7881
电气自动化技术专业（工业机器人方向）;6532
管理科学(金融理财方向);6980
药学;8
物理学（师范）;559
市场营销专业（专科）;5898
国际商务管理;3735
护理（口腔护理）;3639
计算机科学与技术（计算机通信、网络工程方向）;247
应用艺术设计（实用美术设计方向）;3199
数控技术（石油装备制造方向）（国家示范专业，文理兼招）;3081
数控技术（模具设计与制造）;3321
通信工程（闽台合作项目）;4620
会计学（国际商学院专业）;2616
广播电视编导（新闻采编与制作）;8504
软件工程（游戏开发技术方向）;5810
法学类（中外）;2599
工商管理(旅游景区管理方向);8085
人文地理与城乡规划专业;498
市场营销（创业管理）;7117
世界史（历史学院）;1131
　　给排水工程技术;5563
信息与计算科学;176
艺术设计(新媒体艺术设计方向);758
环境监测;1453
社会体育;323
学前教育（３年制）;2345
表演艺术（幼儿艺术方向）;1416
计算机科学与技术专业（惠普软件开发方向）;5322
信息工程(应用电子技术方向);6973
波斯语;97
旅游管理（生态旅游方向）专业;3299
旅游管理(企划与营销方向);6038
中医学（国家特色专业建设点）;3829
心理咨询（学校心理健康教育方向）（师范;3954
　环境艺术设计（建筑表现方向）;1801
德语;94
哈德斯菲尔德大学;3724
社会学类;522
计算机网络技术(网络管理方向);5680
音乐学（师范类）;6113
医学影像技术（专科）;1532
物流管理(采购管理方向);7414
文物与博物馆学;468
法学（本）;8928
化工设备维修技术(国家骨干校重点建设专业、自治区级品牌专业);2378
应用化学专业;5759
地下工程与隧道工程技术（盾构技术）;3234
美术学(师范类);9242
计算机信息管理(网络公安方向);8216
软件工程（本科，理工类）;8122
动漫;4144
应用导游（日汉同声传译方向）;1839
机械设计制造及其自动化(本科，芬兰合作办学2+2);4476
计算机科学与技术（软件服务外包）;5417
表演艺术（舞蹈表演）;7482
船舶工程技术;1774
机电一体化技术（模具CAD/CAM）;7614
港口与航运管理;2676
文秘(商务文秘方向);1688
城市环境岩土工程;3771
水利水电建筑工程（港口工程技术方向）;4397
工商管理（财务管理）;9101
工商企业管理（中德合作）;7755
焊接技术与工程专业;2489
文秘/计算机应用技术;4264
中药(鉴定方向）;1629
网页与多媒体设计;7758
地籍测绘与土地管理信息技术;4406
旅游管理（双语导游方向）;6599
服装设计(服装陈列展示与营销)专业;8745
新闻采编与制作(经济新闻方向);9137
信息管理与信息系统（计算机应用方向）;1022
工程机械运用与维修;6651
计算机应用技术（网络设计方向）;7693
会计学（会计信息化）;7046
会展艺术与技术;571
食品营养与检查;7988
汉语国际教育（中外文化交流）;7123
自动化（技能高考）;6285
涉毒人员矫治专业;6722
土建;280
文化事业管理;5450
公共管理类;5255
蒙古语言文学;9339
金融管理与实务（金融理财）;6370
旅游管理（会展策划与管理方向）;3209
计算机软件（三年制）;4956
护理（专科）;1533
监狱学;1487
航空服务管理;1088
计算机控制技术(机电一体化方向);8193
电气工程与自动化（机电一体化应用技术方向）;8869
国际经济与贸易(国际贸易方向);749
电气自动化技术（自动化设备管理方向;8796
生物实验技术(设施景观方向);754
资产评估与管理;1599
麻醉学专业;2563
会计电算化（省级特色专业）;4570
选煤技术;2437
摄影摄像技术（670302）;5103
师范;3504
空中乘务;1223
工业与民用建筑（三年制，中专）;4949
应用电子技术（电子信息技术）;7545
汉语言文学（财经文秘方向）;3586
产品设计（本科）;7175
飞机维修（发动机装配与调试方向）;6682
船机制造与维修;1394
筑路机械;2426
城市轨道交通控制（机电设备）;1103
档案学（商学院）;1160
服装与服饰设计（学制4年）;2278
医药营销;1652
国防建筑设备工程;4246
材料类（中外合作办学）;2196
中医学（基础医学方向）;3490
自动化与数控;1033
视觉传达设计（数码设计）;4788
市场营销（汽车服务与营销）;4267
地理科学类（中外）;3910
广告学（设计方向）;1474
环境艺术设计（景观方向）;1370
应用心理学（师范）;478
软件技术（北大青鸟软件工程师）;3178
音乐教育(5年制);2352
英语+软件工程;2530
汽车检测与维修技术(汽车制造与装配技术方向);3217
空中乘务（520503）;5122
土术工程;6200
　　旅游管理（酒店管理方向）;4551
商务英语（跨境电子商务）;8376
仪器仪表类;6176
网络工程（物联网技术及应用方向）;7867
计算机科学与技术（三本）;9028
软件技术（软件开发与设计.net方向）;1823
市场营销学制两年;5196
高尔夫球场服务与管理;2710
预防兽医学;2861
日语（国际商务）;6883
物流管理（专科）;804
艺术系;4980
成本管理与控制;8365
航空机械制造与自动化;6684
植物科学;2985
测绘工程（学制4年）;2262
经济学（三本）;9032
金融学（“2+2”中外学分互认项目）;7109
软件工程（移动云计算方向）;7862
建筑施工与管理;5654
信息技术学院;6872
公路工程造价;4224
英语（高级翻译）;2608
机械设计造及其自动化;6202
汽车;5658
计算机科学与技术（微软.Net技术订单培养）;3020
饲料与动物营养;1720
动画（含网络游戏专业方向）;3850
信息传播与多媒体技术;5081
临床医学（日语班）;2991
制药工程专业;8940
艺术设计(服装设计与工程方向）;788
计算机网络技术(北大青鸟网络工程师);3366
电子科学与技术（通信与手机开发）;8299
教育學士學位學前教育;9381
建筑设备工程技术（含建筑水电设计）;7493
戏剧影视美术设计;607
行政管理专业;8949
文物与博物馆学(博物馆学方向);9216
电子设备与运行管理;1865
新型纺织机械技术;4197
经济学（经济与金融）;8306
软件工程（英汉双语授课，学制4年）;2223
汽车营销及技术服务;4402
计算机控制技术(电梯工程技术方向);8192
农村区域经济发展;3813
国际经济与贸易（专科）;3013
智能化楼宇;6410
　　计算机应用技术;4538
影视动画专业;5448
生命科学与技术基地班;2190
统计学（数学科学学院）;1184
艺术类(中外合作办学);2309
物联网工程;213
音乐剧;3591
房地产经营与估价(文理兼收);4679
戏曲表演;699
艺术设计（包装与陈列设计）;8652
新闻采编与制作（专科）;3040
工商企业管理(中小企业管理方向）专业;6052
环境艺术设计（室内设计方向）;7770
文化市场经营与管理专业;6543
服装设计与贸易;7791
农业环境保护技术;4210
道路桥梁工程技术(工程监理方向);7389
环境设计（建筑艺术方向）;5879
动画（游戏设计方向）;2921
物流管理（服务外包）;4266
艺术设计（平面设计方向）;3907
动画(二维动画);7138
生物功能材料;3033
应用英语（机电方向）;1376
经济管理（商务经纪与代理方向）;7633
汽车内燃机;420
斯瓦希里语;1302
会计与金融;3747
服装与服饰设计（本科，文理兼收）;8154
通信工程(微波通信方向);8463
　　金融学专业（四年制本科）;9316
机械制造与自动化（制造技术信息化方向）;8714
园林技术（园林花卉技术方向）;3124
数学与应用数学(免费师范);8009
信息与计算科学专业（商业分析方向）;7866
汽车检测与维修技术（汽车技术服务与营销）;8639
英语教育（师范）;4287
计算机科学与技术（数据库工程师）;7028
法律事务（环境法学）;1990
供用电技术;1604
数控设备应用与维护（580302）;5098
财政学(绩效评价方向);3561
汽车检测与维修技术(汽车营销方向);4160
新能源材料与器件专业（英才班）;5286
　　旅游管理（导游方向）;4553
建筑工程技术专业（省级特色专业、省级精品专业）;6835
工商企业管理(涉外酒店方向);8638
艺术设计(动漫设计与制作方向);6254
音乐学（师范）（本科）;7203
澳洲堪培拉大学;3711
机电技术应用（中专）;4968
财务会计(中澳合作办学);5624
食品科学与工程（师范类）;5339
新闻采编与制作（文理兼收）;4887
软件工程（软件设计方向）;5809
财务管理（三本）;9037
数学类（中外）;3856
交互媒体设计;3692
摄影测量与遥感;1576
汽车运用技术（文理兼招）;3100
文科实验班;47
艺术设计(含会展策划与设计专业方向);3849
测绘;3389
财务管理（高职）;593
机械设计制造及其自动化（轧钢方向);1922
商务英语(翻译方向);7661
新闻学（经济新闻方向）;1479
机械工程其及自动化;2944
市场营销(两年制);9139
市场营销(中外合作办学)(市场营销(营销管理));4010
数学与应用数学（金融数学与金融工程方向）;5346
能源工程及自动化;265
保险学（理财与保险规划方向）;8342
北安普顿大学;3721
